莫使金樽空对月,李白,将进酒
秦时明月汉时关,王昌龄,出塞
海上明月共潮生,张若虚,春江花月夜
何处春江无月明,张若虚,春江花月夜
皎皎空中孤月轮,张若虚,春江花月夜
江月何年初照人,张若虚,春江花月夜
江月年年望相似,张若虚,春江花月夜
何处相思明月楼,张若虚,春江花月夜
愿逐月华流照君,张若虚,春江花月夜
江潭落月复西斜,张若虚,春江花月夜
斜月沉沉藏海雾,张若虚,春江花月夜
落月摇情满江树,张若虚,春江花月夜
会向瑶台月下逢,李白,清平调
山寺月中寻桂子,白居易,忆江南
二月春风似剪刀,贺知章,咏柳
露似珍珠月似弓,白居易,暮江吟
夜吟应觉月光寒,李商隐,无题
峨嵋山月半轮秋,李白,峨眉山月歌
云散月明谁点缀,苏轼,六月二十日夜渡海
五月渔郎相忆否,周邦彦,苏幕遮
春花秋月何时了,李煜,虞美人
明月何时照我还,王安石,泊船瓜洲
二十四桥明月夜,杜牧,寄扬州韩绰判官
暗香浮动月黄昏,林逋,山园小梅·其一
沧海月明珠有泪,李商隐,锦瑟
烟笼寒水月笼沙,杜牧,泊秦淮
湖光秋月两相和,刘禹锡,望洞庭
今月曾经照古人,李白,把酒问月
共看明月应垂泪,白居易,自河南经乱，关内阻饥，兄弟离散，各在一处。因望月有感，聊书所怀，寄上浮梁大兄、於潜七兄、乌江十五兄，兼示符离及下邽弟妹
明月何曾是两乡,王昌龄,送柴侍御
清歌一曲月如霜,高适,听张立本女吟
毕竟西湖六月中,杨万里,晓出净慈寺送林子方
八月秋高风怒号,杜甫,茅屋为秋风所破歌
烟花三月下扬州,李白,黄鹤楼送孟浩然之广陵
人间四月芳菲尽,白居易,大林寺桃花
可怜九月初三夜,白居易,暮江吟
霜叶红于二月花,杜牧,山行
胡天八月即飞雪,岑参,白雪歌送武判官归京
七月七日长生殿,白居易,长恨歌
蓬莱宫中日月长,白居易,长恨歌
行宫见月伤心色,白居易,长恨歌
草长莺飞二月天,高鼎,村居
唯见江心秋月白,白居易,琵琶行
春江花朝秋月夜,白居易,琵琶行
绕船月明江水寒,白居易,琵琶行
秋月春风等闲度,白居易,琵琶行
东南见月几回圆,白居易,八月十五日夜湓亭望月
环佩空归夜月魂,杜甫,咏怀古迹五首·其三
